Description,Designator,Quantity,Case,Mouser_Part_Number,Tolerance,Value,Manufacturer Part Number,Manufacturer_Part_Number

"Crystals 7.3728MHz 18pF -40C +85C","X2","1","","","20 ppm","","ABMM2-7.3728MHZ-E2-T",""
"Crystals 7.3728MHz 18pF -40C +85C","X1","1","","","20 ppm","","ABMM2-7.3728MHZ-E2-T",""
"Analog to Digital Converters - ADC 18B delta-sigma ADC dual Ch 4sps","U22","1","DFN-8","579-MCP3422A0-E/MC","","","","MCP3422A0-E/MC"
"EEPROM","U21","1","SOIC-8","","","","24LC128T-I/SN",""
"Security ICs / Authentication ICs I C/SMBus Silicon Serial Number","U20","1","SOT-23-5","700-DS28CM00R-A00T","","","","DS28CM00R-A00+T"
"Real Time Clock 32.768kHz I2C Time Acc. 1ppm","U19","1","SMD","428-203591-MG01","","","","RV-3028-C7"
"Switch ICs - Various 4-Channel I2C and SMBus","U18","1","TSSOP-16","","","","","TCA9546APWR"
"8-bit Microcontrollers - MCU 256kB Flash 4kB EEPROM 86 I/O Pins","U17","1","TQFP-100","556-ATMEGA2560V8AU","","","","ATMEGA2560V-8AU"
"Audio Amplifiers Audio High Volt","U16","1","VQFN2020-12","621-PAM8904EGPR","","","","PAM8904EGPR"
"Translation - Voltage Levels 8B Bidir Vltg-Level Translator","U15","1","TSSOP-20","","","","TXS0108EPWR",""
"Analogue Switch ICs 2:1 (SPDT), 4-channel switch with 1.8-V logic 16-TSSOP -40 to 125","U14","1","TSSOP-16","","","","","SN3257QPWRQ1"
"8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V","U13","1","TQFP-32","556-ATMEGA328P-AU","","","","ATMEGA328P-AU"
"Power Switch MosFet","U12","1","","595-TPS22917DBVR","","","","TPS22917DBVR"
"Timers & Support Products Ultra Low Power System Timer (35 nA) for Power Gating in duty cycled applications.","U11","1","","595-TPL5111DDCT","","","",""
"Translation - Voltage Levels Low Power Dual Channel","U10","1","VQFN-16","","","","SN74AVCH4T245RGYR",""
"Translation - Voltage Levels Low Power Dual Channel","U9","1","VQFN-16","","","","SN74AVCH4T245RGYR",""
"Translation - Voltage Levels Low Power Dual Channel","U8","1","VQFN-16","","","","SN74AVCH4T245RGYR",""
"SIM Chip MFF2","U7","1","","","","","",""
"Telit GE910 GPRS/UMTS Module","U6","1","","","","GE910QUAD","",""
"LDO Voltage Regulators 500-mA low-IQ small-size low-dropout (LDO) regulator.","U5","1","SOT-23-5","595-TLV75533PDBVR","","","","TLV75533PDBVR"
"Power Switch MosFet","U4","1","","595-TPS22917DBVR","","","","TPS22917DBVR"
"Power Switch MosFet","U3","1","","595-TPS22917DBVR","","","","TPS22917DBVR"
"Switching Voltage Regulators High current, high efficiency single inductor buck-boost converter 10-VSON-HR -40 to 125","U2","1","VSON-10","595-TPS63802DLAT","","","","TPS63802DLAT"
"Switching Voltage Regulators High current, high efficiency single inductor buck-boost converter 10-VSON-HR -40 to 125","U1","1","VSON-10","595-TPS63802DLAT","","","","TPS63802DLAT"
"MHF Antenna Socket","RF1","1","","","","","",""
"Thick Film Resistors - SMD 1/16 W 4.7 Kohms 1%","R70","1","0402","","%1","4K7","CRCW04024K70FKED",""
"Thick Film Resistors - SMD 1/16 W 4.7 Kohms 1%","R69","1","0402","","%1","4K7","CRCW04024K70FKED",""
"Thick Film Resistors - SMD 1/16 W 4.7 Kohms 1%","R68","1","0402","","%1","4K7","CRCW04024K70FKED",""
"Thick Film Resistors - SMD 1/16 W 22R Ohms 1%","R67","1","0402","","%1","22R","CRCW040222R0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R66","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R65","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R64","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R63","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R62","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R61","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R60","1","0402","","%1","330R","CRCW0402330RFKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R59","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R58","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R57","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R56","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R55","1","0402","","%1","10K","CRCW040210K0FKED",""
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R54","1","0402","","%1","47K","CRCW040247K0FKED",""
